,"BUF-DiffToSE-ADAU1966 Bill of Materials Release 1.0",,,,,
,"24/01/16",,,,,
"Id","Designator","Package","Quantity","Designation","Detail",
1,"R202,R201","SMD-0805",2,"47R","100mW",
2,"C327,C326,C325,C205,C206,C213,C214,C328,C361,C362,C363,C364","SMD-0805",12,"10n","50V X7R 10%",
3,"C323,C322,C203,C204,C211,C212,C321,C324,C315,C320,C301,C302,C303,C304,C305,C306,C337,C338,C339,C340,C341,C342,C351,C352,C357,C358,C359,C360,C373,C374,C375,C376,C222","SMD-0805",33,"100n","50V X7R 10%",
4,"C314,C313,C311,C309,C308,C215,C216,C307,C310,C312,C343,C344,C345,C346,C347,C348,C349,C350","SMD-0805",18,"1n","50V X7R 10%",
5,"C201,C202,C209,C210","CAP-TH-D8mmP3.5mm",4,"220u","'=>35V eg Panasonic EEU-FC1V221L",
6,"C207,C208","SMD-0805",2,"100p","50V NP0 5%",
7,"C329,C331,C333,C335,C365,C367,C369,C371","CAP-TH-D10mmP5mm",8,"100u","'=>50V Panasonic EEUFC1H101 - In audio path",
8,"C330,C332,C334,C336,C366,C368,C370,C372","CAP_TH_5mm",8,"100n","63V 5mm Film Capacitor",
9,"CN301,CN302,CN303,CN304,CN305,CN306,CN307,CN308","CONN_SIL_2",8,"COAX","2.54mm pitch pin header or wire directly",
10,"D201,D202","DIODE-SMA",2,"B230A","Diodes Inc. B230A-13-F",
11,"L201,L202","SMD-0805",2,"600R@100MHz","'=>1A eg Wruth 742792040, TDK MPZ2012S601A",
12,"P201,P202,P205,P206","MountingHole_3mm",4,"PIN","Mounting hole only",
13,"P203,P204","CONN-2WAY-2.54mm-3.81mm-SPACING",2,"CONN_2x1","Any 2.54mm  or 3.81mm screw terminal eg CamdenBoss CTB0308/2",
14,"P301,P302","CONN_DIL_2X10_BOX",2,"CONN_02X10","2x10 2.54mm box header",
15,"R301,R302,R303,R304,R305,R306,R307,R308,R325,R326,R327,R328,R329,R330,R331,R332","SMD-1206",16,"1k3","MELF 0204",
16,"R309,R310,R311,R312,R313,R314,R315,R316,R333,R334,R335,R336,R337,R338,R339,R340","SMD-1206",16,"1k5","MELF 0204",
17,"R317,R318,R319,R320,R341,R342,R343,R344","SMD-1206",8,"100","MELF 0204",
18,"R321,R322,R323,R324,R345,R346,R347,R348","SMD-1206",8,"100K","MELF 0204",
19,"U301,U302,U303,U304,U305,U306,U307,U308","IC_SOIC_8",8,"IC-OPAMP-SINGLE-SOIC8","Texas Instruments OPA1641AID or low noise single op-amp",
20,"C316,C317,C318,C319,C353,C354,C355,C356","SMD-1206",8,"22u","35V X5R 20%",
21,"R349,R350,R351,R352","SMD-1206",4,"10R","MELF 0204",
22,"C217,C218,C219,C220,C221","SMD-0805",5,"22u","35V X5R 20%",
